seed,x,y
1,-731271.5117751968,694867.4738744645
1,527549.2379532276,-489861.9485211561
1,-9129.825816118042,-101017.87042252359
1,303185.9454455256,577446.7022710257
1,-812280.8264515294,-943305.0469559864
1,671530.2078397387,-134465.86418989312
1,524560.1649158833,-995787.8932977776
1,-109225.61189039703,443080.0646815646
1,-542475.5574590941,890541.3911078436
1,802854.9152229662,-938820.0339328919
1,-949108.2780130774,82824.94558699301
1,878298.3255570201,-237591.52462357492
1,-566801.2057387726,-155766.84883456526
1,-941918.4248502632,-556616.6674539293
1,-124224.81269885576,-8375.517236298649
1,-533831.0994848541,-538266.9169180308
1,-562437.9253246222,-80793.06852453272
1,-420436.7708190284,-957020.5894681812
1,675155.951325145,112908.64530486672
1,284588.72586489085,-628187.468210564
1,985086.8243521292,719893.057590579
1,-758220.0803883864,-334609.62927974144
1,442968.81516653637,422383.5393905587
1,872881.1735989182,-155786.0000771694
1,660071.3865486534,340611.1328281417
1,-393262.97813416435,175161.21228711877
1,764958.0016637145,692394.8368566247
1,10567.641159200808,178004.5159651033
1,-930948.3396973158,-514520.0529138642
1,594808.495108605,-171372.00139845128
1,-653985.1968418974,97597.52277630579
1,406081.52413126256,348971.661004654
1,-250593.95899671922,-122076.73991087358
1,16852.976499963668,556885.2300002909
1,41876.83522629028,-213489.81007154763
1,-20612.959075483494,-940850.0720661848
1,-913025.4192869442,406764.17720767146
1,966375.4346193467,186367.46076011483
1,-212800.6272441718,-659301.6062886368
1,4477.116866966127,964153.2750770674
1,541046.2796616006,79234.89689955756
1,720579.5578410985,-535647.7438739704
1,27543.326375273988,904934.7765365379
1,155589.6156024061,-81736.53617866314
1,-461441.04511715705,95992.61893249757
1,914232.5629204527,-988581.7410992131
1,567310.4652307791,640971.8238509631
1,772359.1616520156,481006.82366639224
1,618279.8017449585,37356.567046004115
1,122715.72955675784,-147818.64062369952
1,-887753.4049585182,740020.3103532788
1,139998.66775276035,-600321.1596457132
1,9440.93485772668,-30149.775544531643
1,-286420.07091008825,-307844.16196368996
1,76957.5914756885,246978.90559501003
1,224904.929565451,-83706.39980055112
1,-944050.0318323143,-540789.9374459516
1,-645577.482122834,168921.7415568825
1,722017.7217066489,596877.8811548514
1,594195.1252709919,632874.7411213812
1,-489411.9198253876,683489.6645481914
1,346227.0508774138,-833531.7243922034
1,-966618.7397688798,-970880.0501503743
1,511173.55050439585,-500881.54869315383
1,-781022.7454112804,249604.1683049522
1,-311154.2718070098,-860969.2429383044
1,-680748.9506123043,54760.79809602548
1,-663710.1075551428,-454171.12636263936
1,423179.8543705455,-90596.73990867217
1,-355996.46722534776,-52457.97165944218
1,-952730.8447360249,-226885.79047706
1,-158162.64158184803,-623921.3904973735
1,-782476.6151091725,799637.0007120395
1,20231.961857352755,-581818.0148964592
1,211297.2800680328,634079.3367557732
1,-958363.7829814244,-964270.9583444083
1,-707076.5192013073,437670.94552357926
1,-679544.81474059,409211.25570400467
1,356351.5905538945,89404.32715780882
1,-558800.5039546463,951189.0356357658
1,595621.7154123014,33199.03389878594
1,-553608.4395066579,297012.83619851235
1,-210203.98028340063,151691.92557611328
1,-357508.3813097491,261895.72254269372
1,-882429.7675870165,-402788.1007539729
1,935806.6203017774,751068.4884703177
1,-387226.75933350774,717028.8127131179
1,-379272.74529373145,878576.864270564
1,487684.23733424174,-167655.4744699488
1,-495283.7954403288,-983039.4750726613
1,757435.7964176923,-924166.9388028379
1,638828.2212255938,924402.250361635
1,140561.1404903602,-656965.8096445621
1,735562.128869986,947550.4723193824
1,408046.28466014226,17747.4921557809
1,-244062.33131278364,-306138.23087475635
1,-588476.48541059,348306.0284937279
1,-134099.7577993673,-611762.7100296202
1,-791151.5543169685,331915.0565573649
1,-407854.6538336965,-400.15552639681846
1,-349308.69024800695,743243.0148471094
1,799356.5392695615,-963814.0327190555
1,-598293.9771184806,-344518.5898074646
1,974099.4358560512,565400.7514587505
1,-321808.7042981322,-573940.4072383719
1,348910.1394475262,675402.1403079279
1,864374.9437872536,-312300.3704183601
1,764786.4049329263,374220.3643073143
1,-31002.554775011842,971016.4596515946
1,-530719.1302579225,450930.3724825444
1,-830639.5391670307,-660611.7164112241
1,821975.5670161349,-574063.6100171511
1,518232.3654328798,200417.6602644989
1,682264.3914117095,-263784.0011887016
1,-319429.52999602363,-417569.42517773027
1,734839.6471738046,207965.05778342218
1,908614.9143443789,774530.2094339248
1,-729308.0452090933,102340.94813843293
1,-791450.003970772,-921724.4028061779
1,-853613.162335302,732336.7147331432
1,576232.8974504521,657011.9429382264
1,-318205.07176683284,230372.0651180729
1,563807.203265509,-243920.74232322501
1,141563.05119804654,-552571.854502461
1,-836513.4752952117,-466552.71403652686
1,781536.2557106098,128893.66648039466
1,850134.4042169455,-84461.48191750923
1,-445634.4677846029,574029.327120657
1,655536.3132914588,-975236.5110266657
1,340823.27804786165,-816633.7547669635
1,-769795.0031441445,770120.1407593213
1,-919952.9262196696,-520733.27026498085
1,976316.9972120643,-157972.82513946528
1,-768883.6388154526,-665233.1250773357
1,-517159.4298043133,488012.83307401615
1,-794331.7080273796,821528.8365586657
1,-243445.45891154755,940528.0730564202
1,818445.4563014217,-411952.8301029041
1,-493179.72791774606,-45979.808055464295
1,-799741.7120990951,304100.39897883416
1,-920759.5731725901,-978987.6969626544
1,965167.2531009257,-408900.2799021639
1,193141.28637688246,-100310.9307398044
1,-373438.2778621437,-874070.4199047084
1,826784.0343318799,939626.5536762303
1,939593.0089929389,-777275.3797462154
1,-569613.4599278024,235613.76002311113
1,959905.7717801529,85826.3949694311
1,376379.61609542475,323668.8577506981
1,-481828.0162927095,83204.52582593088
2,912068.5437784978,895654.9741186978
2,-886897.2645463817,-830256.0096821559
2,670997.7562588985,471939.978137046
2,339460.8028804414,-383727.0848217112
2,211888.3313569246,213603.46728167555
2,162408.034224006,-683234.2594903882
2,-138660.7194174626,-212936.35958925704
2,446024.16247493133,989639.1258994845
2,898790.9461864863,88354.09485864162
2,-110291.62254829274,-463518.51670134335
2,-928151.3412142838,-945110.285818361
